time,aso_mean_bins_mm,AGP,DAN,DDM,DPO,FLV,GEM,GIN,GNL,GRM,HRS,KIB,LLE,LMS,MHP,PDS,REL,SLI,SMW,SPA,TNY,TUM,VLR,WHW
2017-03-03,1290.5029323739702,1378.4579999999999,1225.8039999999999,1463.04,994.156,,1056.64,,1877.568,1453.8960000000002,2180.5899999999997,725.17,2395.22,525.7799999999999,1624.584,1728.2160000000001,,1816.1,1127.7599999999998,1148.08,1604.01,1138.4279999999999,795.02,1292.86
2017-04-01,1295.75225704736,1408.43,1205.484,1627.632,761.7459999999999,,1121.6639999999998,,1866.9,1423.416,2359.9139999999998,622.0459999999999,2720.3399999999997,434.34000000000003,1786.1279999999997,2030.4759999999997,,1955.8,1234.44,1297.94,1679.7019999999998,1129.2839999999999,924.56,1346.1999999999998
2017-05-02,1217.663487405862,,1193.8,1737.3600000000001,475.742,,1231.9,,1953.768,1164.336,2532.3799999999997,297.942,3081.0199999999995,0.0,2005.5839999999998,1941.576,,2354.58,1371.6,1328.4199999999998,1422.9080000000001,969.2639999999999,924.56,1137.9199999999998
2017-06-04,848.8433925691354,0.0,786.384,1274.0639999999999,0.0,,965.708,,1264.9199999999998,0.0,1646.174,0.0,2616.2000000000003,0.0,1380.744,812.8,25.908,1981.1999999999998,551.18,541.02,467.614,0.0,355.59999999999997,17.779999999999998
2017-07-17,113.84167622559607,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,993.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-27,57.147563920208825,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,269.23999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-16,20.737344772527827,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23,423.5457503726046,587.756,381.0,,0.0,,408.94,54.864000000000004,731.52,0.0,1049.2740000000001,0.0,1247.1399999999999,0.0,670.56,473.71,496.316,717.804,317.5,353.06,414.02,112.776,271.78,280.41599999999994
2018-05-28,127.98216137819954,0.0,,,0.0,,239.26799999999997,0.0,216.408,0.0,210.31199999999998,0.0,685.8,0.0,134.11200000000002,0.0,0.0,270.002,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-24,1076.3985639430307,,930.9099999999999,838.708,998.728,,777.24,905.256,2271.268,1179.576,1955.292,782.828,1950.7199999999998,708.66,1292.3519999999999,1694.18,1094.486,1434.5919999999999,1005.84,1000.7599999999999,1259.586,845.0580000000001,642.62,1271.0159999999998
